                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0509,                0.67399,                 1.3141,                0.91412,                0.89012,                0.94307,                0.65543,                 1.1861,                0.48874,                  1.491,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.0453,                  0.675,                 1.3141,                0.91555,                0.89071,                0.94287,                0.65746,                 1.1867,                0.48817,                 1.4928,               0.008317,               0.008317,               0.008317
                     37,                 1.0445,                0.66809,                 1.3149,                0.93476,                0.87191,                 0.9435,                0.65751,                 1.1862,                0.48897,                 1.4934,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.0391,                0.66189,                 1.3143,                0.93343,                0.87325,                0.94321,                0.65754,                 1.1866,                0.48872,                 1.4948,               0.008218,               0.008218,               0.008218
                     39,                 1.0401,                0.66407,                 1.3145,                0.92133,                0.88586,                  0.942,                0.65485,                 1.1871,                0.48809,                 1.4968,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.0357,                0.66283,                 1.3106,                0.93253,                0.87524,                0.94167,                0.65427,                 1.1884,                0.48865,                 1.4985,               0.008119,               0.008119,               0.008119
                     41,                 1.0345,                0.65963,                 1.3072,                0.92975,                0.88077,                0.94275,                0.65451,                 1.1896,                0.48847,                 1.5003,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.0273,                0.65395,                 1.3042,                0.93328,                0.88103,                0.94222,                0.65453,                 1.1907,                0.48851,                 1.5021,                0.00802,                0.00802,                0.00802
                     43,                  1.026,                0.65148,                 1.3026,                 0.9323,                0.88282,                0.94356,                0.65561,                 1.1912,                0.48707,                 1.5029,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.0239,                0.64866,                 1.3015,                 0.9283,                0.88579,                0.94311,                0.65512,                 1.1921,                0.48686,                 1.5043,               0.007921,               0.007921,               0.007921
                     45,                 1.0194,                0.64707,                 1.3018,                0.93052,                0.88378,                0.94235,                0.65395,                 1.1922,                0.48648,                 1.5052,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.0198,                0.64389,                 1.3002,                0.93143,                0.88179,                0.94344,                0.65465,                 1.1922,                0.48592,                  1.506,               0.007822,               0.007822,               0.007822
                     47,                  1.018,                0.64064,                 1.2963,                0.92375,                 0.8885,                0.94444,                0.65466,                 1.1918,                 0.4849,                 1.5058,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.0153,                0.63854,                  1.295,                 0.9303,                0.88108,                0.94376,                0.65357,                 1.1923,                0.48496,                 1.5068,               0.007723,               0.007723,               0.007723
                     49,                  1.009,                0.63721,                 1.2921,                0.92903,                0.87764,                0.94349,                0.65354,                 1.1929,                0.48606,                 1.5075,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.0062,                0.63162,                 1.2907,                0.92477,                0.88267,                0.94267,                0.65333,                 1.1938,                 0.4857,                 1.5087,               0.007624,               0.007624,               0.007624
                     51,                 1.0046,                0.63155,                 1.2917,                0.92629,                0.88548,                0.94366,                0.65396,                 1.1938,                0.48435,                 1.5096,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.0024,                0.63412,                 1.2919,                0.93187,                0.87905,                0.94356,                0.65453,                 1.1939,                0.48426,                 1.5102,               0.007525,               0.007525,               0.007525
                     53,                0.99604,                0.62551,                 1.2876,                0.93173,                0.87739,                 0.9434,                0.65335,                 1.1944,                0.48539,                 1.5111,              0.0074755,              0.0074755,              0.0074755
                     54,                0.99229,                0.61943,                 1.2842,                0.92954,                0.87915,                0.94245,                0.65248,                 1.1942,                0.48604,                 1.5123,               0.007426,               0.007426,               0.007426
                     55,                0.99111,                0.62201,                 1.2849,                0.93005,                0.87826,                0.94328,                0.65379,                 1.1942,                0.48714,                 1.5137,              0.0073765,              0.0073765,              0.0073765
                     56,                0.98772,                 0.6178,                  1.285,                0.92791,                0.87742,                 0.9428,                0.65424,                 1.1945,                0.48728,                 1.5148,               0.007327,               0.007327,               0.007327
                     57,                0.98465,                0.61282,                  1.277,                0.92659,                0.87892,                0.94329,                0.65541,                 1.1953,                0.48719,                 1.5162,              0.0072775,              0.0072775,              0.0072775
                     58,                0.98736,                 0.6174,                 1.2814,                0.91757,                 0.8885,                0.94266,                0.65476,                 1.1961,                0.48853,                 1.5178,               0.007228,               0.007228,               0.007228
                     59,                0.97886,                0.61328,                 1.2746,                0.91514,                0.89016,                 0.9434,                0.65429,                 1.1968,                0.48858,                 1.5192,              0.0071785,              0.0071785,              0.0071785
                     60,                0.98079,                0.61036,                  1.276,                0.91589,                 0.8887,                0.94338,                0.65408,                 1.1974,                  0.488,                 1.5207,               0.007129,               0.007129,               0.007129
                     61,                0.97326,                0.60885,                 1.2716,                0.91521,                0.88971,                0.94355,                 0.6551,                 1.1975,                0.48729,                 1.5216,              0.0070795,              0.0070795,              0.0070795
                     62,                0.97031,                 0.6063,                 1.2713,                0.91654,                0.88972,                0.94347,                 0.6548,                 1.1979,                0.48713,                 1.5227,                0.00703,                0.00703,                0.00703
                     63,                0.96787,                0.60446,                 1.2736,                  0.922,                0.88659,                 0.9435,                0.65448,                 1.1982,                0.48796,                  1.524,              0.0069805,              0.0069805,              0.0069805
