                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2291,                  1.246,                 1.3978,                0.82425,                0.80729,                0.86862,                0.56765,                  1.242,                0.72211,                 1.4417,              0.0033317,              0.0033317,              0.0033317
                      2,                 1.1924,                0.95972,                 1.3598,                  0.831,                 0.7894,                0.86065,                0.55497,                  1.268,                0.73847,                 1.4908,               0.006632,               0.006632,               0.006632
                      3,                 1.2413,                 1.0601,                 1.4031,                0.81013,                0.76798,                0.83178,                0.52809,                 1.2773,                0.80826,                 1.5522,              0.0098993,              0.0098993,              0.0098993
                      4,                 1.2495,                 1.0785,                 1.4198,                0.78627,                0.80332,                0.84415,                0.53791,                 1.2641,                0.75134,                 1.5412,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2176,                 1.0018,                 1.4014,                0.85244,                0.81039,                0.87148,                0.56721,                 1.2515,                0.70591,                 1.5122,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.1954,                0.95577,                 1.3908,                0.79497,                0.80889,                0.86609,                0.56948,                  1.237,                0.67691,                 1.5122,               0.009802,               0.009802,               0.009802
                      7,                 1.1778,                0.91922,                  1.385,                0.82772,                0.80378,                0.87557,                0.57798,                 1.2348,                0.66676,                 1.4968,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.1635,                0.88874,                 1.3728,                0.87741,                0.83099,                0.90038,                0.59699,                 1.2228,                0.61841,                 1.5014,               0.009703,               0.009703,               0.009703
                      9,                 1.1525,                0.86068,                 1.3714,                0.86643,                0.81342,                0.89198,                0.59147,                 1.2215,                0.61577,                 1.5073,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.1464,                0.84524,                  1.364,                0.86649,                0.85806,                0.91148,                0.61266,                 1.2024,                0.58245,                 1.4924,               0.009604,               0.009604,               0.009604
                     11,                 1.1369,                0.83071,                 1.3612,                0.89087,                0.84862,                0.92322,                0.62572,                 1.2073,                0.57292,                 1.4968,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.1357,                0.81989,                 1.3599,                 0.8933,                0.84975,                0.92603,                0.62857,                 1.2048,                0.56131,                  1.491,               0.009505,               0.009505,               0.009505
                     13,                 1.1288,                0.80637,                 1.3538,                0.90172,                0.84382,                0.92054,                0.62273,                 1.1985,                0.56569,                 1.4753,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.1225,                0.79612,                   1.35,                0.89605,                0.86412,                0.92759,                0.63402,                 1.1991,                0.55115,                 1.4789,               0.009406,               0.009406,               0.009406
                     15,                 1.1206,                0.78201,                 1.3505,                0.89914,                0.86197,                 0.9219,                0.62769,                 1.1969,                0.55122,                 1.4795,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.1139,                0.77388,                 1.3452,                0.89284,                 0.8629,                0.92494,                0.63727,                 1.1837,                0.54357,                 1.4761,               0.009307,               0.009307,               0.009307
                     17,                 1.1117,                0.76754,                 1.3478,                0.91395,                0.87521,                0.92876,                0.63502,                 1.1996,                0.53563,                 1.5025,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.1038,                0.75617,                 1.3452,                0.88683,                0.87601,                0.92693,                0.63978,                 1.1934,                0.53823,                 1.4872,               0.009208,               0.009208,               0.009208
                     19,                 1.1017,                0.75017,                 1.3435,                0.89047,                0.87411,                0.92586,                0.63788,                 1.1876,                0.52118,                 1.4833,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.0986,                0.75003,                  1.341,                0.90551,                0.86677,                0.92406,                0.63937,                 1.1828,                0.51622,                 1.4768,               0.009109,               0.009109,               0.009109
                     21,                 1.0929,                0.73794,                 1.3384,                0.90369,                0.88367,                0.92891,                0.64132,                 1.1856,                0.51487,                 1.4802,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.0922,                0.73122,                 1.3375,                0.91095,                 0.8651,                0.92953,                0.64432,                  1.186,                0.51076,                 1.4792,                0.00901,                0.00901,                0.00901
                     23,                 1.0875,                0.72962,                 1.3342,                0.91818,                0.84987,                0.93065,                0.64493,                 1.1849,                0.50864,                 1.4817,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.0836,                 0.7212,                 1.3311,                0.89235,                0.88157,                0.93137,                 0.6441,                 1.1828,                0.50579,                 1.4811,               0.008911,               0.008911,               0.008911
                     25,                 1.0793,                0.71523,                   1.33,                0.91205,                0.86928,                  0.933,                 0.6457,                 1.1838,                0.50215,                 1.4858,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.0782,                  0.712,                 1.3319,                0.91577,                0.87207,                0.93342,                0.64477,                 1.1832,                0.50036,                 1.4853,               0.008812,               0.008812,               0.008812
                     27,                 1.0756,                0.70973,                 1.3293,                0.93012,                0.85651,                0.93424,                0.64686,                 1.1817,                0.50019,                 1.4827,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.0716,                0.70166,                 1.3228,                0.93144,                0.85804,                0.93562,                0.64784,                 1.1799,                0.50044,                  1.479,               0.008713,               0.008713,               0.008713
                     29,                 1.0685,                0.70354,                 1.3252,                0.93407,                0.85768,                0.93562,                0.64928,                  1.182,                0.49681,                 1.4819,              0.0086635,              0.0086635,              0.0086635
