                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2191,                 1.2103,                 1.3836,                0.80179,                0.80429,                0.85719,                 0.5584,                 1.2314,                0.68403,                  1.416,              0.0033322,              0.0033322,              0.0033322
                      2,                 1.1899,                0.94828,                  1.349,                0.84948,                0.79281,                0.86129,                0.55398,                 1.2601,                0.70215,                 1.4764,              0.0066325,              0.0066325,              0.0066325
                      3,                 1.2375,                 1.0393,                 1.3894,                0.81233,                0.78675,                0.85864,                0.55058,                 1.2623,                0.74329,                   1.49,              0.0098998,              0.0098998,              0.0098998
                      4,                 1.2436,                  1.061,                 1.4126,                0.84381,                0.80374,                0.87123,                0.56551,                  1.265,                0.70484,                 1.5292,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.2061,                0.97092,                 1.3964,                0.86607,                0.82809,                0.89444,                0.58731,                 1.2345,                0.64515,                 1.5076,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.1802,                0.91609,                 1.3825,                0.85448,                0.83711,                0.89991,                0.60402,                  1.218,                0.62425,                 1.4939,               0.009802,               0.009802,               0.009802
                      7,                 1.1663,                 0.8849,                 1.3766,                0.89841,                0.83865,                0.91884,                 0.6161,                 1.2042,                0.58447,                 1.4781,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.1548,                0.85944,                 1.3687,                 0.8952,                0.85981,                0.91976,                0.62227,                 1.2057,                0.58092,                  1.482,               0.009703,               0.009703,               0.009703
                      9,                 1.1432,                 0.8377,                 1.3636,                0.89691,                0.84948,                0.92057,                0.62537,                  1.196,                0.56479,                 1.4787,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.1315,                0.81665,                 1.3586,                0.88068,                0.87543,                0.92777,                 0.6301,                 1.2034,                0.54688,                 1.4929,               0.009604,               0.009604,               0.009604
                     11,                 1.1257,                0.80209,                 1.3563,                0.89991,                0.83982,                0.92516,                 0.6316,                 1.1919,                 0.5467,                 1.4845,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.1191,                0.78848,                 1.3508,                0.91046,                0.85666,                0.92759,                0.63368,                 1.1949,                0.52814,                 1.4793,               0.009505,               0.009505,               0.009505
                     13,                 1.1138,                0.77606,                 1.3532,                0.90636,                0.88485,                0.93502,                0.64146,                 1.1925,                0.51578,                 1.4922,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.1079,                0.76727,                 1.3521,                0.90463,                0.88845,                0.93633,                0.64634,                 1.1898,                0.51489,                 1.4905,               0.009406,               0.009406,               0.009406
                     15,                 1.1046,                0.75905,                 1.3462,                0.88268,                0.89444,                 0.9328,                0.64386,                 1.1924,                0.51874,                  1.495,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.0998,                0.75014,                 1.3455,                0.90309,                0.88407,                0.93286,                0.64078,                 1.1931,                0.51695,                 1.4959,               0.009307,               0.009307,               0.009307
